#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 04 18 20 00  70  8.0 10.0    MM    MM    MM  MM 1025.0   6.3   6.5   4.4   MM -1.3    MM
2017 04 18 19 50  70  8.0 10.0   1.0     5   4.1  75 1025.2   6.2   6.5   4.3   MM   MM    MM
2017 04 18 19 40  70  7.0  9.0    MM    MM    MM  MM 1025.3   6.2   6.5   4.5   MM   MM    MM
2017 04 18 19 30  70  8.0  9.0    MM    MM    MM  MM 1025.4   6.2   6.5   4.4   MM   MM    MM
2017 04 18 19 20  70  7.0  9.0    MM    MM    MM  MM 1025.5   6.2   6.5   4.4   MM   MM    MM
2017 04 18 19 10  70  7.0  9.0    MM    MM    MM  MM 1025.6   6.2   6.5   4.5   MM   MM    MM
2017 04 18 19 00  70  7.0  9.0    MM    MM    MM  MM 1025.6   6.2   6.5   4.4   MM -1.4    MM
2017 04 18 18 50  70  7.0  9.0   1.0     5   4.0  69 1025.5   6.2   6.5   4.6   MM   MM    MM
2017 04 18 18 40  70  7.0  9.0    MM    MM    MM  MM 1025.6   6.1    MM   4.4   MM   MM    MM
2017 04 18 18 30  60  8.0 10.0    MM    MM    MM  MM 1025.7   6.1   6.5   4.4   MM   MM    MM
2017 04 18 18 20  70  8.0  9.0    MM    MM    MM  MM 1025.7   6.0   6.4   4.5   MM   MM    MM
2017 04 18 18 10  60  8.0 10.0    MM    MM    MM  MM 1025.9   5.9   6.4   4.4   MM   MM    MM
2017 04 18 18 00  60  8.0 10.0    MM    MM    MM  MM 1026.0   5.9   6.4   4.4   MM -1.1    MM
2017 04 18 17 50  60  8.0 10.0   0.9     5   3.8  81 1025.9   5.9   6.4   4.4   MM   MM    MM
2017 04 18 17 40  60  8.0 10.0    MM    MM    MM  MM 1026.0   5.9   6.4   4.4   MM   MM    MM
2017 04 18 17 30  60  8.0 10.0    MM    MM    MM  MM 1026.2   5.9   6.4   4.4   MM   MM    MM
2017 04 18 17 20  60  8.0  9.0    MM    MM    MM  MM 1026.2   5.9   6.4   4.5   MM   MM    MM
2017 04 18 17 10  60  8.0 10.0    MM    MM    MM  MM 1026.2   5.9   6.4   4.5   MM   MM    MM
2017 04 18 17 00  60  7.0  9.0    MM    MM    MM  MM 1026.3   5.9   6.4   4.5   MM -1.3    MM
2017 04 18 16 50  60  7.0  9.0   0.8     5   3.8  75 1026.4   5.9   6.3   4.5   MM   MM    MM
2017 04 18 16 40  60  7.0  8.0    MM    MM    MM  MM 1026.5   5.9   6.3   4.5   MM   MM    MM
2017 04 18 16 30  70  7.0  9.0    MM    MM    MM  MM 1026.6   5.9   6.3   4.5   MM   MM    MM
2017 04 18 16 20  60  8.0  9.0    MM    MM    MM  MM 1026.7   5.8   6.3   4.4   MM   MM    MM
2017 04 18 16 10  70  8.0  9.0    MM    MM    MM  MM 1026.8   5.8   6.3   4.5   MM   MM    MM
2017 04 18 16 00  70  8.0  9.0    MM    MM    MM  MM 1026.9   5.7   6.3   4.3   MM -0.9    MM
2017 04 18 15 50  60  7.0  9.0   0.8     5   3.7  73 1027.0   5.7   6.3   4.4   MM   MM    MM
2017 04 18 15 40  70  8.0  9.0    MM    MM    MM  MM 1027.1   5.7   6.3   4.3   MM   MM    MM
2017 04 18 15 30  70  7.0  9.0    MM    MM    MM  MM 1027.1   5.7   6.3   4.4   MM   MM    MM
2017 04 18 15 20  70  7.0  9.0    MM    MM    MM  MM 1027.2   5.7   6.3   4.4   MM   MM    MM
2017 04 18 15 10  70  7.0  9.0    MM    MM    MM  MM 1027.2   5.6   6.2   4.3   MM   MM    MM
2017 04 18 15 00  80  8.0 10.0    MM    MM    MM  MM 1027.1   5.6   6.2   4.2   MM -0.7    MM
2017 04 18 14 50  70  8.0  9.0   0.6     4   3.3  73 1027.3   5.6   6.2   4.2   MM   MM    MM
2017 04 18 14 40  70  8.0  9.0    MM    MM    MM  MM 1027.4   5.6   6.2   4.3   MM   MM    MM
2017 04 18 14 30  70  8.0 10.0    MM    MM    MM  MM 1027.5   5.6   6.2   4.2   MM   MM    MM
