#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
2016 04 12 11 50 306  8.0 10.4 99.00 99.00 99.00 999 1023.4   3.5   4.5  -1.7 99.0 99.00 
2016 04 12 12 00 307  8.3  9.7 99.00 99.00 99.00 999 1023.6   3.5   4.5  -1.9 99.0 99.00 
2016 04 12 12 10 311  8.3 10.2 99.00 99.00 99.00 999 1023.9   3.5   4.4  -1.8 99.0 99.00 
2016 04 12 12 20 312  8.2 10.0 99.00 99.00 99.00 999 1024.0   3.4   4.4  -1.7 99.0 99.00 
2016 04 12 12 30 310  8.3 10.0 99.00 99.00 99.00 999 1024.2   3.4   4.4  -1.5 99.0 99.00 
2016 04 12 12 40 318  8.7 10.6  0.69  3.57  3.18 307 1024.3   3.3   4.4  -1.9 99.0 99.00 
2016 04 12 12 50 316  8.2 10.1 99.00 99.00 99.00 999 1024.5   3.3   4.4  -1.9 99.0 99.00 
2016 04 12 13 00 312  7.8  9.6 99.00 99.00 99.00 999 1024.7   3.3   4.4  -1.5 99.0 99.00 
2016 04 12 13 10 312  7.4  8.9 99.00 99.00 99.00 999 1024.8   3.2   4.4  -1.7 99.0 99.00 
2016 04 12 13 20 314  7.4  8.5 99.00 99.00 99.00 999 1025.0   3.2   4.4  -1.7 99.0 99.00 
2016 04 12 13 30 311  6.9  8.2 99.00 99.00 99.00 999 1025.1   3.2   4.4  -1.4 99.0 99.00 
2016 04 12 13 40 306  6.7  7.9  0.71  3.70  3.37 302 1025.2   3.2   4.4  -1.5 99.0 99.00 
2016 04 12 13 50 309  6.8  8.1 99.00 99.00 99.00 999 1025.4   3.3   4.4  -1.8 99.0 99.00 
2016 04 12 14 00 309  6.6  8.4 99.00 99.00 99.00 999 1025.5   3.3   4.4  -1.9 99.0 99.00 
2016 04 12 14 10 311  6.9  8.2 99.00 99.00 99.00 999 1025.6   3.2   4.4  -2.0 99.0 99.00 
2016 04 12 14 20 308  6.5  7.9 99.00 99.00 99.00 999 1025.8   3.2   4.4  -1.8 99.0 99.00 
2016 04 12 14 30 296  6.3  7.5 99.00 99.00 99.00 999 1025.9   3.1   4.4  -1.9 99.0 99.00 
2016 04 12 14 40 305  6.5  7.6  0.62  3.70  3.24 296 1026.2   3.1   4.4  -2.4 99.0 99.00 
2016 04 12 14 50 308  6.3  7.5 99.00 99.00 99.00 999 1026.3   3.1   4.4  -2.2 99.0 99.00 
2016 04 12 15 00 306  6.2  7.4 99.00 99.00 99.00 999 1026.5   3.0   4.4  -2.7 99.0 99.00 
2016 04 12 15 10 304  6.0  7.3 99.00 99.00 99.00 999 1026.7   3.0   4.4  -2.5 99.0 99.00 
